ACEH|OH|4420000|3526000|1533000|770000
SUMATERA UTARA|OH|4960000|2195000|1100000|699000
RIAU|OH|3820000|3119000|1650000|852000
KEPULAUAN RIAU|OH|5344000|2318000|1297000|792000
JAMBI|OH|5000000|4102000|1225000|580000
SUMATERA BARAT|OH|5236000|3332000|1353000|701000
SUMATERA SELATAN|OH|5850000|3083000|1955000|861000
LAMPUNG|OH|4491000|2488000|1425000|580000
BENGKULU|OH|2140000|1628000|1546000|692000
BANGKA BELITUNG|OH|3827000|2838000|1957000|649000
BANTEN|OH|5725000|2373000|1204000|724000
JAWA BARAT|OH|5381000|2755000|1201000|686000
DKI JAKARTA|OH|8720000|2063000|992000|730000
JAWA TENGAH|OH|5303000|1850000|1201000|750000
YOGYAKARTA|OH|5017000|2695000|1384000|845000
JAWA TIMUR|OH|4449000|2007000|1153000|814000
BALI|OH|6848000|2433000|1685000|1138000
NUSA TENGGARA BARAT|OH|4375000|2648000|1418000|907000
NUSA TENGGARA TIMUR|OH|3750000|2133000|1355000|688000
KALIMANTAN BARAT|OH|2654000|1923000|1125000|538000
KALIMANTAN TENGAH|OH|4901000|3391000|1160000|659000
KALIMANTAN SELATAN|OH|4797000|3316000|1500000|697000
KALIMANTAN TIMUR|OH|4000000|2188000|1507000|804000
KALIMANTAN UTARA|OH|4000000|2188000|1507000|904000
SULAWESI UTARA|OH|4919000|2290000|1207000|978000
GORONTALO|OH|4168000|3107000|1606000|955000
SULAWESI BARAT|OH|4076000|3098000|1344000|704000
SULAWESI SELATAN|OH|4820000|1938000|1423000|745000
SULAWESI TENGAH|OH|2309000|2027000|1679000|951000
SULAWESI TENGGARA|OH|3088800|2574000|1297000|786000
MALUKU|OH|3467000|3240000|1059000|667000
MALUKU UTARA|OH|4611600|3843000|1160000|605000
PAPUA|OH|3859000|3318000|2521000|1038000
PAPUA BARAT|OH|3872000|3341000|2056000|967000
PAPUA BARAT DAYA|OH|3872000|3341000|2056000|967000
PAPUA TENGAH|OH|3859000|3318000|2521000|1038000
PAPUA SELATAN|OH|5673000|4877000|3706000|1526000
PAPUA PEGUNUNGAN|OH|5711000|4911000|3731000|1536000
